@RELATION emotionModelData1NNO
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {angry,neutral}

@DATA
0.151369,0.007493,2.669905,0.260175,0.217998,1.189180,0.015551,0.278469,-27.695833,1.387134,-0.236964,-0.205075,-0.228426,-0.244779,0.118511,-0.075553,-0.164625,-0.145190,-0.396292,-0.149784,-0.300239,0.023026,0.008812,0.024074,0.024768,0.020136,0.006931,0.015782,0.003785,0.008035,0.011050,0.017191,0.008693,0.021213,0.110843,0.010732,0.525185,0.097701,0.035601,0.672014,0.009235,0.210241,2.970010,1.173362,1.128241,0.667620,0.561166,0.434061,0.428246,0.378277,0.387045,0.332040,0.374487,0.375035,0.374796,0.027520,0.011395,0.028722,0.035499,0.031215,0.009689,0.030649,0.005565,0.014454,0.014815,0.022220,0.015817,0.014059,angry
0.137643,0.008474,2.648175,0.254339,0.203094,1.199737,0.015802,0.286662,-27.886630,1.502760,0.521665,-0.207680,-0.273733,-0.284616,-0.081523,0.030669,-0.109789,0.134562,-0.163615,0.033657,-0.186599,0.013444,0.007537,0.013134,0.011313,0.011536,0.012779,0.035942,0.005570,0.014843,0.018099,0.019015,0.007094,0.020689,0.119993,0.014722,0.518616,0.122474,0.034021,0.817071,0.011956,0.234446,3.525662,1.244493,1.008684,0.715397,0.409490,0.459430,0.397448,0.325904,0.277845,0.291856,0.284370,0.337030,0.284261,0.018007,0.012893,0.016195,0.029127,0.022184,0.021712,0.048358,0.013852,0.021256,0.018148,0.022964,0.010286,0.015672,angry
0.126220,0.006710,2.653369,0.232604,0.216942,1.018429,0.012548,0.209903,-30.549473,1.800696,0.283026,-0.157545,-0.154796,-0.308922,-0.094508,0.225811,-0.291486,-0.034661,-0.351158,0.072429,-0.210967,0.012731,0.004763,0.030169,0.017103,0.027301,0.012879,0.033220,0.001940,0.008180,0.013429,0.032410,0.009606,0.024660,0.098712,0.011140,0.415309,0.090995,0.038171,0.516451,0.004741,0.145760,3.353061,0.906058,0.855565,0.361915,0.375008,0.355612,0.269642,0.366506,0.353193,0.314958,0.293026,0.365414,0.325266,0.013841,0.006067,0.023682,0.023588,0.030485,0.018220,0.043244,0.003294,0.015611,0.011058,0.024542,0.016726,0.011642,angry
0.148947,0.011563,2.804815,0.258643,0.218111,1.220414,0.015495,0.273271,-28.004905,1.439751,0.280111,-0.253062,-0.303762,-0.305921,-0.355605,0.096250,-0.413428,0.024104,-0.244565,0.167015,-0.148526,0.018830,0.008377,0.020836,0.018049,0.017165,0.021589,0.034571,0.005856,0.012919,0.015451,0.015419,0.005929,0.027178,0.120217,0.019042,0.446366,0.098706,0.034030,0.641028,0.010628,0.193149,3.462989,1.040736,1.014649,0.610423,0.454673,0.371435,0.399183,0.387749,0.458432,0.347335,0.344061,0.380611,0.393631,0.028395,0.017408,0.024244,0.030558,0.023005,0.038157,0.048586,0.015854,0.019169,0.016757,0.021416,0.009407,0.015812,angry
0.160315,0.005206,2.894818,0.297469,0.233886,1.403030,0.017108,0.333604,-30.551185,0.553762,-0.211657,-0.097146,-0.297431,-0.103070,-0.305867,-0.369683,-0.268472,-0.097801,0.152651,0.186235,0.051957,0.005161,0.003751,0.017912,0.008439,0.016075,0.015134,0.050810,0.004761,0.009109,0.011725,0.019720,0.004019,0.026646,0.121871,0.006942,0.345762,0.092498,0.031728,0.766752,0.013081,0.229922,5.899582,1.275684,0.766737,0.639138,0.520777,0.683352,0.455724,0.430804,0.409845,0.407887,0.491545,0.332534,0.403691,0.010239,0.006641,0.033648,0.014365,0.023824,0.024800,0.094367,0.009981,0.012494,0.023313,0.031095,0.005530,0.024766,angry
0.207803,0.023952,2.746892,0.312382,0.223278,1.638710,0.013361,0.388130,-27.374077,-0.051126,-0.488219,-0.321068,-0.577955,-0.406350,-0.238143,0.109193,0.150517,0.048573,-0.010862,-0.058239,0.053767,0.019315,0.011907,0.009427,0.008667,0.009760,0.007066,0.012145,0.003180,0.009633,0.004629,0.013430,0.007558,0.013650,0.127049,0.035111,0.558100,0.090444,0.032864,0.686030,0.013845,0.209147,4.424539,1.553715,0.781661,0.621632,0.436120,0.513801,0.462963,0.625125,0.545882,0.428482,0.483830,0.401520,0.256925,0.029960,0.017633,0.010334,0.013482,0.018542,0.009488,0.014970,0.004603,0.018746,0.006461,0.023671,0.011867,0.011316,angry
0.134919,0.005672,2.705922,0.263267,0.223333,1.218503,0.017512,0.267033,-30.634553,0.912431,-0.045097,-0.126022,-0.422186,-0.404544,-0.384631,-0.093710,-0.082152,0.193820,-0.020111,0.090039,-0.085650,0.008381,0.003280,0.016191,0.008936,0.015144,0.011419,0.039081,0.005094,0.013961,0.016392,0.027957,0.005723,0.023642,0.107925,0.010748,0.543412,0.092254,0.036502,0.855218,0.016354,0.208260,5.664719,1.526555,1.147605,0.795236,0.418067,0.403655,0.492849,0.366381,0.445224,0.384916,0.433291,0.332492,0.289005,0.011590,0.004855,0.027638,0.012270,0.036702,0.019645,0.076064,0.010127,0.026259,0.022034,0.039777,0.007721,0.022454,angry
0.142053,0.017406,2.781252,0.271995,0.222924,1.353090,0.021790,0.288234,-27.999242,0.583887,-0.441217,0.007576,-0.365180,-0.342433,-0.378820,-0.088860,-0.033760,0.089564,0.063947,0.089306,-0.118100,0.014070,0.005227,0.011631,0.007228,0.009989,0.010886,0.030751,0.002984,0.008431,0.015457,0.017166,0.017359,0.021881,0.081837,0.027858,0.512148,0.086606,0.040090,0.774779,0.019377,0.204987,4.836091,1.495021,0.707387,0.711419,0.509964,0.455089,0.389734,0.489602,0.489455,0.486998,0.386249,0.328315,0.272500,0.028879,0.008403,0.015849,0.011026,0.016390,0.017999,0.061787,0.004208,0.014105,0.025883,0.023522,0.039572,0.018787,angry
0.183799,0.020078,2.785512,0.296289,0.230216,1.307860,0.014810,0.302449,-26.920403,0.914024,-0.385952,-0.303055,-0.439979,-0.188019,-0.359322,-0.171483,-0.174741,-0.074027,0.087874,0.189339,-0.068200,0.010285,0.006548,0.011013,0.008918,0.016378,0.019305,0.026908,0.007485,0.015358,0.008400,0.018751,0.011481,0.020462,0.157206,0.029179,0.519304,0.117055,0.034508,0.693322,0.009033,0.241740,3.470313,1.201268,1.122207,0.444363,0.535723,0.513823,0.416258,0.427126,0.471602,0.392316,0.462025,0.434473,0.306488,0.014912,0.015028,0.014584,0.013754,0.023319,0.029622,0.037787,0.015411,0.023732,0.009159,0.030054,0.018123,0.012316,angry
0.124844,0.007695,2.784988,0.234801,0.224433,0.873372,0.028556,0.200417,-30.375687,1.854193,0.063117,0.077357,-0.259708,-0.398089,-0.124008,0.095410,0.069905,-0.055705,-0.240871,-0.034090,-0.035259,0.016043,0.009274,0.033029,0.025092,0.020549,0.005476,0.050861,0.001575,0.005347,0.021420,0.021928,0.007821,0.033662,0.100143,0.012082,0.519622,0.089319,0.036468,0.530221,0.011837,0.176451,3.459873,1.287860,0.731058,0.495815,0.380574,0.360970,0.397101,0.414108,0.419548,0.349624,0.368708,0.277655,0.169704,0.016065,0.014208,0.041135,0.038836,0.035021,0.005185,0.073440,0.002919,0.011439,0.029134,0.026830,0.011762,0.019250,angry
